GAME_ID,TEAM_ID,TEAM_NAME,SEASON_ID,MATCHUP,WL,AVG_PLAYER_PLAYTIME_PG_PT,AVG_PLAYER_PLAYTIME_PG_PT_S5,AVG_CNT_PLAYER_PLAYTIME_PG_PT,AVG_CNT_PLAYER_PLAYTIME_PG_PT_S5,HOME_TEAM,WIN,BUBBLE
41900223,1610612745,Rockets,42019,HOU vs. LAL,L,1800.0,2207.0,514.2857142857141,525.4761904761906,1,0,1
41900223,1610612747,Lakers,42019,LAL @ HOU,W,1440.0,1611.0,533.3333333333335,537.0,0,1,1
41900224,1610612745,Rockets,42019,HOU vs. LAL,L,1800.0,2052.6,496.5517241379311,540.1578947368419,1,0,1
41900224,1610612747,Lakers,42019,LAL @ HOU,W,1600.0000000000002,1826.4,411.4285714285711,456.6000000000002,0,1,1
41900225,1610612745,Rockets,42019,HOU @ LAL,L,1309.0909090909088,1896.2,423.52941176470614,526.7222222222224,0,0,1
41900225,1610612747,Lakers,42019,LAL vs. HOU,W,1107.692307692308,1712.8,450.0,503.76470588235304,1,1,1
41900231,1610612743,Nuggets,42019,DEN @ LAC,L,1107.692307692308,1651.52,514.2857142857141,589.8285714285713,0,0,1
41900231,1610612746,Clippers,42019,LAC vs. DEN,W,1107.692307692308,1542.72,496.5517241379311,593.3538461538463,1,1,1
41900232,1610612743,Nuggets,42019,DEN @ LAC,W,1600.0,2143.46,533.3333333333335,630.4294117647058,0,1,1
41900232,1610612746,Clippers,42019,LAC vs. DEN,L,1309.0909090909088,1768.1200000000001,423.52941176470614,520.035294117647,1,0,1
41900233,1610612743,Nuggets,42019,DEN vs. LAC,L,1600.0,2196.5,496.5517241379311,610.1388888888888,1,0,1
41900233,1610612746,Clippers,42019,LAC @ DEN,W,1309.0909090909088,1915.64,351.21951219512215,456.10476190476203,0,1,1
41900234,1610612743,Nuggets,42019,DEN vs. LAC,L,1440.0,1856.6200000000001,450.0,546.0647058823527,1,0,1
41900234,1610612746,Clippers,42019,LAC @ DEN,W,1309.0909090909088,1776.36,400.0,422.9428571428572,0,1,1
