GAME_ID,TEAM_ID,TEAM_NAME,SEASON_ID,MATCHUP,WIN,BUBBLE,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,TEAM_CITY,HOME_TEAM,STARTING_5,DURATION,PLAYTIME_PP_PG,MIN 01,MIN 02,MIN 03,MIN 04,MIN 05,MIN 06,MIN 07,MIN 08,MIN 09,MIN 10,MIN 11,MIN 12,MIN 13,MIN 14,MIN 15,MIN 16,MIN 17,MIN 18,MIN 19,MIN 20,MIN 21,MIN 22,MIN 23,MIN 24,MIN 25,MIN 26,MIN 27,MIN 28,MIN 29,MIN 30,MIN 31,MIN 32,MIN 33,MIN 34,MIN 35,MIN 36,MIN 37,MIN 38,MIN 39,MIN 40,MIN 41,MIN 42,MIN 43,MIN 44,MIN 45,MIN 46,MIN 47,MIN 48
41600175,1610612746,Clippers,42016,LAC vs. UTA,0,0,101108,Chris,Paul,LA Clippers,1,True,754.0,2262.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
41600175,1610612746,Clippers,42016,LAC vs. UTA,0,0,101109,Raymond,Felton,LA Clippers,1,False,247.67500000000007,990.7000000000003,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
41600175,1610612746,Clippers,42016,LAC vs. UTA,0,0,101138,Brandon,Bass,LA Clippers,1,False,227.0,227.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41600175,1610612746,Clippers,42016,LAC vs. UTA,0,0,200755,JJ,Redick,LA Clippers,1,True,513.525,2054.1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
41600175,1610612746,Clippers,42016,LAC vs. UTA,0,0,201578,Marreese,Speights,LA Clippers,1,True,197.75,791.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
41600175,1610612746,Clippers,42016,LAC vs. UTA,0,0,201599,DeAndre,Jordan,LA Clippers,1,True,595.55,2382.2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
41600175,1610612746,Clippers,42016,LAC vs. UTA,0,0,201601,Luc,Mbah a Moute,LA Clippers,1,True,368.5833333333333,2211.5,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
41600175,1610612746,Clippers,42016,LAC vs. UTA,0,0,202325,Wesley,Johnson,LA Clippers,1,False,207.0,207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41600175,1610612746,Clippers,42016,LAC vs. UTA,0,0,203085,Austin,Rivers,LA Clippers,1,False,266.75,1067.0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
41600175,1610612762,Jazz,42016,UTA @ LAC,1,0,2207,Joe,Johnson,Utah,0,False,308.43333333333334,1850.6000000000001,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
