GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041300101,2,2561,David West,1610612754,Indiana Pacers,1,11,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,-28,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,3,2594,Kyle Korver,1610612737,Atlanta Hawks,1,11,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,17,254,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,5,201579,Roy Hibbert,1610612754,Indiana Pacers,1,11,17,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,15,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,7,200794,Paul Millsap,1610612737,Atlanta Hawks,1,10,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,72,37,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,9,203544,Pero Antic,1610612737,Atlanta Hawks,1,10,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,-17,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,18,2561,David West,1610612754,Indiana Pacers,1,10,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-7,151,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,20,2594,Kyle Korver,1610612737,Atlanta Hawks,1,9,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-24,258,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,23,201952,Jeff Teague,1610612737,Atlanta Hawks,1,9,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,121,145,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,24,202331,Paul George,1610612754,Indiana Pacers,1,9,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-106,52,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,26,2594,Kyle Korver,1610612737,Atlanta Hawks,1,9,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,3,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,28,202362,Lance Stephenson,1610612754,Indiana Pacers,1,8,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-3,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,30,201952,Jeff Teague,1610612737,Atlanta Hawks,1,8,42,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,25,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,33,2561,David West,1610612754,Indiana Pacers,1,8,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-103,173,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,35,200794,Paul Millsap,1610612737,Atlanta Hawks,1,8,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,106,71,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,37,203544,Pero Antic,1610612737,Atlanta Hawks,1,8,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-103,230,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,39,200794,Paul Millsap,1610612737,Atlanta Hawks,1,7,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-5,244,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,43,202331,Paul George,1610612754,Indiana Pacers,1,7,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-75,235,1,0,20140419,IND,ATL
Shot Chart Detail,0041300101,45,201952,Jeff Teague,1610612737,Atlanta Hawks,1,7,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,48,201588,George Hill,1610612754,Indiana Pacers,1,6,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-13,1,1,20140419,IND,ATL
Shot Chart Detail,0041300101,49,2594,Kyle Korver,1610612737,Atlanta Hawks,1,6,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,105,175,1,0,20140419,IND,ATL
