GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0040800101,2,201155,Rodney Stuckey,1610612765,Detroit Pistons,1,11,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,3,2544,LeBron James,1610612739,Cleveland Cavaliers,1,11,23,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-16,140,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,4,1888,Richard Hamilton,1610612765,Detroit Pistons,1,11,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-136,148,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,6,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,10,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-138,213,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,13,686,Antonio McDyess,1610612765,Detroit Pistons,1,10,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,7,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,14,980,Zydrunas Ilgauskas,1610612739,Cleveland Cavaliers,1,10,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,189,69,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,16,980,Zydrunas Ilgauskas,1610612739,Cleveland Cavaliers,1,10,10,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,67,93,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,18,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,10,2,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,4,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,19,739,Rasheed Wallace,1610612765,Detroit Pistons,1,9,45,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,140,31,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,20,980,Zydrunas Ilgauskas,1610612739,Cleveland Cavaliers,1,9,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-100,157,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,22,2544,LeBron James,1610612739,Cleveland Cavaliers,1,9,1,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,23,686,Antonio McDyess,1610612765,Detroit Pistons,1,8,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-175,34,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,24,980,Zydrunas Ilgauskas,1610612739,Cleveland Cavaliers,1,8,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-187,74,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,26,739,Rasheed Wallace,1610612765,Detroit Pistons,1,8,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,20,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,28,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,184,89,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,30,686,Antonio McDyess,1610612765,Detroit Pistons,1,7,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,32,2760,Anderson Varejao,1610612739,Cleveland Cavaliers,1,7,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-8,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,33,2419,Tayshaun Prince,1610612765,Detroit Pistons,1,7,4,Missed Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-56,39,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,35,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,6,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-235,101,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,37,201155,Rodney Stuckey,1610612765,Detroit Pistons,1,6,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,38,2544,LeBron James,1610612739,Cleveland Cavaliers,1,6,25,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,20,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,39,1888,Richard Hamilton,1610612765,Detroit Pistons,1,6,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-147,52,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,41,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-133,160,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,52,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,22,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-3,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,53,1888,Richard Hamilton,1610612765,Detroit Pistons,1,4,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,92,67,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,54,2753,Delonte West,1610612739,Cleveland Cavaliers,1,4,34,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-103,80,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,60,980,Zydrunas Ilgauskas,1610612739,Cleveland Cavaliers,1,4,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,61,2419,Tayshaun Prince,1610612765,Detroit Pistons,1,3,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,69,2544,LeBron James,1610612739,Cleveland Cavaliers,1,3,9,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-24,44,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,70,686,Antonio McDyess,1610612765,Detroit Pistons,1,2,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,177,0,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,72,2753,Delonte West,1610612739,Cleveland Cavaliers,1,2,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-29,250,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,74,201155,Rodney Stuckey,1610612765,Detroit Pistons,1,2,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-144,61,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,85,1888,Richard Hamilton,1610612765,Detroit Pistons,1,1,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,140,33,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,91,200789,Daniel Gibson,1610612739,Cleveland Cavaliers,1,1,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-146,175,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,92,2198,Kwame Brown,1610612765,Detroit Pistons,1,1,0,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-19,64,1,1,20090418,CLE,DET
Shot Chart Detail,0040800101,93,2544,LeBron James,1610612739,Cleveland Cavaliers,1,0,46,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-2,1,0,20090418,CLE,DET
Shot Chart Detail,0040800101,96,201155,Rodney Stuckey,1610612765,Detroit Pistons,1,0,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,211,1,0,20090418,CLE,DET
