GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0040400101,3,1713,Vince Carter,1610612751,New Jersey Nets,1,11,27,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,54,143,1,0,20050424,MIA,NJN
Shot Chart Detail,0040400101,5,406,Shaquille O'Neal,1610612748,Miami Heat,1,11,17,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050424,MIA,NJN
Shot Chart Detail,0040400101,6,2215,Jason Collins,1610612751,New Jersey Nets,1,10,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-118,160,1,0,20050424,MIA,NJN
Shot Chart Detail,0040400101,8,406,Shaquille O'Neal,1610612748,Miami Heat,1,10,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050424,MIA,NJN
Shot Chart Detail,0040400101,9,467,Jason Kidd,1610612751,New Jersey Nets,1,10,27,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-105,64,1,0,20050424,MIA,NJN
Shot Chart Detail,0040400101,11,2548,Dwyane Wade,1610612748,Miami Heat,1,10,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-128,140,1,0,20050424,MIA,NJN
Shot Chart Detail,0040400101,13,2420,Nenad Krstic,1610612751,New Jersey Nets,1,10,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,176,100,1,1,20050424,MIA,NJN
Shot Chart Detail,0040400101,14,1800,Damon Jones,1610612748,Miami Heat,1,9,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-3,243,1,0,20050424,MIA,NJN
Shot Chart Detail,0040400101,22,2243,Brian Scalabrine,1610612751,New Jersey Nets,1,9,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-200,151,1,1,20050424,MIA,NJN
Shot Chart Detail,0040400101,24,2548,Dwyane Wade,1610612748,Miami Heat,1,8,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050424,MIA,NJN
Shot Chart Detail,0040400101,25,2215,Jason Collins,1610612751,New Jersey Nets,1,8,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,204,-6,1,1,20050424,MIA,NJN
Shot Chart Detail,0040400101,28,2617,Udonis Haslem,1610612748,Miami Heat,1,8,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,34,184,1,0,20050424,MIA,NJN
Shot Chart Detail,0040400101,30,1713,Vince Carter,1610612751,New Jersey Nets,1,8,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-6,248,1,1,20050424,MIA,NJN
Shot Chart Detail,0040400101,31,224,Eddie Jones,1610612748,Miami Heat,1,7,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,113,137,1,0,20050424,MIA,NJN
Shot Chart Detail,0040400101,35,2215,Jason Collins,1610612751,New Jersey Nets,1,7,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,158,86,1,1,20050424,MIA,NJN
Shot Chart Detail,0040400101,37,224,Eddie Jones,1610612748,Miami Heat,1,6,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-200,135,1,0,20050424,MIA,NJN
