GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041000101,7,201946,Tyler Hansbrough,1610612754,Indiana Pacers,1,11,38,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,14,1,0,20110416,CHI,IND
Shot Chart Detail,0041000101,2,201946,Tyler Hansbrough,1610612754,Indiana Pacers,1,11,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,11,1,0,20110416,CHI,IND
Shot Chart Detail,0041000101,3,201579,Roy Hibbert,1610612754,Indiana Pacers,1,11,36,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,14,1,1,20110416,CHI,IND
Shot Chart Detail,0041000101,5,201565,Derrick Rose,1610612741,Chicago Bulls,1,11,16,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,108,20,1,1,20110416,CHI,IND
Shot Chart Detail,0041000101,11,2736,Luol Deng,1610612741,Chicago Bulls,1,10,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,103,131,1,0,20110416,CHI,IND
Shot Chart Detail,0041000101,14,201954,Darren Collison,1610612754,Indiana Pacers,1,10,15,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,14,1,0,20110416,CHI,IND
Shot Chart Detail,0041000101,16,201579,Roy Hibbert,1610612754,Indiana Pacers,1,10,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,1,20110416,CHI,IND
Shot Chart Detail,0041000101,22,201579,Roy Hibbert,1610612754,Indiana Pacers,1,9,37,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,67,11,1,1,20110416,CHI,IND
Shot Chart Detail,0041000101,24,201954,Darren Collison,1610612754,Indiana Pacers,1,9,17,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-4,42,1,1,20110416,CHI,IND
Shot Chart Detail,0041000101,26,202331,Paul George,1610612754,Indiana Pacers,1,9,3,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20110416,CHI,IND
Shot Chart Detail,0041000101,29,2430,Carlos Boozer,1610612741,Chicago Bulls,1,8,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-76,20,1,1,20110416,CHI,IND
Shot Chart Detail,0041000101,30,201579,Roy Hibbert,1610612754,Indiana Pacers,1,8,28,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,9,1,0,20110416,CHI,IND
