GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041100101,2,201565,Derrick Rose,1610612741,Chicago Bulls,1,11,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,170,1,0,20120428,CHI,PHI
Shot Chart Detail,0041100101,4,201950,Jrue Holiday,1610612755,Philadelphia 76ers,1,11,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-152,201,1,1,20120428,CHI,PHI
Shot Chart Detail,0041100101,5,2736,Luol Deng,1610612741,Chicago Bulls,1,11,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-19,205,1,1,20120428,CHI,PHI
Shot Chart Detail,0041100101,6,202730,Lavoy Allen,1610612755,Philadelphia 76ers,1,10,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-51,187,1,0,20120428,CHI,PHI
Shot Chart Detail,0041100101,9,201565,Derrick Rose,1610612741,Chicago Bulls,1,10,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,12,1,0,20120428,CHI,PHI
Shot Chart Detail,0041100101,11,2736,Luol Deng,1610612741,Chicago Bulls,1,10,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,14,1,1,20120428,CHI,PHI
Shot Chart Detail,0041100101,12,2738,Andre Iguodala,1610612755,Philadelphia 76ers,1,9,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,133,164,1,0,20120428,CHI,PHI
Shot Chart Detail,0041100101,14,201565,Derrick Rose,1610612741,Chicago Bulls,1,9,49,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,9,1,1,20120428,CHI,PHI
Shot Chart Detail,0041100101,15,1882,Elton Brand,1610612755,Philadelphia 76ers,1,9,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,166,20,1,0,20120428,CHI,PHI
Shot Chart Detail,0041100101,17,2430,Carlos Boozer,1610612741,Chicago Bulls,1,9,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-13,154,1,1,20120428,CHI,PHI
Shot Chart Detail,0041100101,18,2738,Andre Iguodala,1610612755,Philadelphia 76ers,1,9,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-164,187,1,0,20120428,CHI,PHI
Shot Chart Detail,0041100101,20,1888,Richard Hamilton,1610612741,Chicago Bulls,1,8,50,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-8,61,1,1,20120428,CHI,PHI
Shot Chart Detail,0041100101,22,201950,Jrue Holiday,1610612755,Philadelphia 76ers,1,8,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,61,219,1,0,20120428,CHI,PHI
Shot Chart Detail,0041100101,24,201950,Jrue Holiday,1610612755,Philadelphia 76ers,1,8,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,214,113,1,0,20120428,CHI,PHI
Shot Chart Detail,0041100101,26,201565,Derrick Rose,1610612741,Chicago Bulls,1,8,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-119,162,1,0,20120428,CHI,PHI
