GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0040900101,2,2544,LeBron James,1610612739,Cleveland Cavaliers,1,11,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,4,201149,Joakim Noah,1610612741,Chicago Bulls,1,11,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,89,138,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,6,201959,Taj Gibson,1610612741,Chicago Bulls,1,11,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-150,104,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,7,1515,Anthony Parker,1610612739,Cleveland Cavaliers,1,11,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,9,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,8,201565,Derrick Rose,1610612741,Chicago Bulls,1,10,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-191,173,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,10,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,10,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-164,86,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,12,2736,Luol Deng,1610612741,Chicago Bulls,1,10,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-149,143,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,14,2544,LeBron James,1610612739,Cleveland Cavaliers,1,10,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,20,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,17,406,Shaquille O'Neal,1610612739,Cleveland Cavaliers,1,9,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,-11,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,19,201149,Joakim Noah,1610612741,Chicago Bulls,1,9,53,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-3,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,20,1515,Anthony Parker,1610612739,Cleveland Cavaliers,1,9,32,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,14,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,22,1712,Antawn Jamison,1610612739,Cleveland Cavaliers,1,9,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-141,211,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,23,201565,Derrick Rose,1610612741,Chicago Bulls,1,9,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,154,85,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,24,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,50,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,26,201565,Derrick Rose,1610612741,Chicago Bulls,1,8,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-92,183,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,28,201565,Derrick Rose,1610612741,Chicago Bulls,1,8,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-164,181,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,30,1712,Antawn Jamison,1610612739,Cleveland Cavaliers,1,7,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-109,198,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,32,201149,Joakim Noah,1610612741,Chicago Bulls,1,7,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,81,149,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,34,2590,Mo Williams,1610612739,Cleveland Cavaliers,1,7,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,219,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,35,201149,Joakim Noah,1610612741,Chicago Bulls,1,7,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,92,132,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,37,406,Shaquille O'Neal,1610612739,Cleveland Cavaliers,1,7,17,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,41,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,7,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,129,172,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,46,2736,Luol Deng,1610612741,Chicago Bulls,1,6,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,75,179,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,48,1515,Anthony Parker,1610612739,Cleveland Cavaliers,1,6,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-201,156,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,50,406,Shaquille O'Neal,1610612739,Cleveland Cavaliers,1,6,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,4,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,55,201565,Derrick Rose,1610612741,Chicago Bulls,1,6,12,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,105,45,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,61,201565,Derrick Rose,1610612741,Chicago Bulls,1,5,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,9,50,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,63,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,5,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-139,19,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,66,2544,LeBron James,1610612739,Cleveland Cavaliers,1,5,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,70,2550,Kirk Hinrich,1610612741,Chicago Bulls,1,5,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,89,190,1,0,20100417,CLE,CHI
Shot Chart Detail,0040900101,72,406,Shaquille O'Neal,1610612739,Cleveland Cavaliers,1,4,45,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,89,31,1,1,20100417,CLE,CHI
Shot Chart Detail,0040900101,76,1712,Antawn Jamison,1610612739,Cleveland Cavaliers,1,4,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,91,184,1,0,20100417,CLE,CHI
