GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0041500101,3,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,11,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,64,174,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,4,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,11,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,127,85,1,0,20160417,CLE,DET
Shot Chart Detail,0041500101,6,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,11,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,-6,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,7,202699,Tobias Harris,1610612765,Detroit Pistons,1,11,7,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,-11,1,0,20160417,CLE,DET
Shot Chart Detail,0041500101,9,2747,JR Smith,1610612739,Cleveland Cavaliers,1,10,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-1,247,1,0,20160417,CLE,DET
Shot Chart Detail,0041500101,12,2544,LeBron James,1610612739,Cleveland Cavaliers,1,10,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,13,203083,Andre Drummond,1610612765,Detroit Pistons,1,10,6,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,122,38,1,0,20160417,CLE,DET
Shot Chart Detail,0041500101,15,202681,Kyrie Irving,1610612739,Cleveland Cavaliers,1,9,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,200,52,1,0,20160417,CLE,DET
Shot Chart Detail,0041500101,17,203484,Kentavious Caldwell-Pope,1610612765,Detroit Pistons,1,9,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,129,1,0,20160417,CLE,DET
Shot Chart Detail,0041500101,18,202699,Tobias Harris,1610612765,Detroit Pistons,1,9,48,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,20,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,9,26,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,31,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,21,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,9,3,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,125,2,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,22,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,8,45,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,135,21,1,0,20160417,CLE,DET
Shot Chart Detail,0041500101,25,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,31,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-5,1,1,20160417,CLE,DET
Shot Chart Detail,0041500101,26,202694,Marcus Morris Sr.,1610612765,Detroit Pistons,1,8,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,168,-11,1,1,20160417,CLE,DET
