GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0040500101,46,2072,Michael Redd,1610612749,Milwaukee Bucks,1,11,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,136,90,1,0,20060423,DET,MIL
Shot Chart Detail,0040500101,4,739,Rasheed Wallace,1610612765,Detroit Pistons,1,11,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20060423,DET,MIL
Shot Chart Detail,0040500101,3,739,Rasheed Wallace,1610612765,Detroit Pistons,1,11,29,Made Shot,Follow Up Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20060423,DET,MIL
Shot Chart Detail,0040500101,5,2250,Bobby Simmons,1610612749,Milwaukee Bucks,1,11,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-118,233,1,1,20060423,DET,MIL
Shot Chart Detail,0040500101,7,1497,Chauncey Billups,1610612765,Detroit Pistons,1,10,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20060423,DET,MIL
Shot Chart Detail,0040500101,9,2048,Jamaal Magloire,1610612749,Milwaukee Bucks,1,10,34,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,31,1,1,20060423,DET,MIL
Shot Chart Detail,0040500101,10,739,Rasheed Wallace,1610612765,Detroit Pistons,1,10,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,112,81,1,0,20060423,DET,MIL
Shot Chart Detail,0040500101,12,2250,Bobby Simmons,1610612749,Milwaukee Bucks,1,10,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,8,1,0,20060423,DET,MIL
Shot Chart Detail,0040500101,14,1888,Richard Hamilton,1610612765,Detroit Pistons,1,9,53,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-112,43,1,0,20060423,DET,MIL
Shot Chart Detail,0040500101,16,2072,Michael Redd,1610612749,Milwaukee Bucks,1,9,42,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-113,23,1,1,20060423,DET,MIL
